poll_id,question_id,race,cycle,location,pollster,polldate,electiondate,days_to_election,samplesize,methodology,candidate,party,poll_pct,actual_pct,signed_error,absolute_error,source_url,official_result_url
45835,71599,2016_Pres-G_CA,2016,CA,Ipsos,2016-09-12,2016-11-08,57,577.0,Online Panel,Hillary Rodham Clinton,DEM,62.5,61.72638863699762,0.7736113630023809,0.7736113630023809,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46059,72051,2016_Pres-G_CA,2016,CA,Ipsos,2016-09-19,2016-11-08,50,705.0,Online Panel,Hillary Rodham Clinton,DEM,60.01,61.72638863699762,-1.7163886369976211,1.7163886369976211,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46340,72468,2016_Pres-G_CA,2016,CA,Ipsos,2016-09-26,2016-11-08,43,787.0,Online Panel,Hillary Rodham Clinton,DEM,63.67,61.72638863699762,1.9436113630023826,1.9436113630023826,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46636,72930,2016_Pres-G_CA,2016,CA,Ipsos,2016-10-03,2016-11-08,36,974.0,Online Panel,Hillary Rodham Clinton,DEM,61.26,61.72638863699762,-0.4663886369976211,0.4663886369976211,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46820,73266,2016_Pres-G_CA,2016,CA,Ipsos,2016-10-10,2016-11-08,29,553.0,Online Panel,Hillary Rodham Clinton,DEM,65.89,61.72638863699762,4.163611363002381,4.163611363002381,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48016,75106,2016_Pres-G_CA,2016,CA,YouGov,2016-10-09,2016-11-08,30,1250.0,Online Panel,Hillary Rodham Clinton,DEM,54.0,61.72638863699762,-7.726388636997619,7.726388636997619,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47188,73865,2016_Pres-G_CA,2016,CA,Ipsos,2016-10-17,2016-11-08,22,503.0,Online Panel,Hillary Rodham Clinton,DEM,63.82,61.72638863699762,2.093611363002381,2.093611363002381,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47716,74699,2016_Pres-G_CA,2016,CA,Ipsos,2016-10-24,2016-11-08,15,712.0,Online Panel,Hillary Rodham Clinton,DEM,65.14,61.72638863699762,3.4136113630023814,3.4136113630023814,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48125,75391,2016_Pres-G_CA,2016,CA,YouGov,2016-10-28,2016-11-08,11,1498.0,Online Panel,Hillary Rodham Clinton,DEM,53.0,61.72638863699762,-8.72638863699762,8.72638863699762,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48690,76271,2016_Pres-G_CA,2016,CA,Ipsos,2016-11-03,2016-11-08,5,726.0,Online Panel,Hillary Rodham Clinton,DEM,58.85,61.72638863699762,-2.8763886369976177,2.8763886369976177,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48723,76304,2016_Pres-G_CA,2016,CA,YouGov,2016-10-20,2016-11-08,19,8746.0,Online Panel,Hillary Rodham Clinton,DEM,51.8,61.72638863699762,-9.926388636997622,9.926388636997622,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46060,72052,2016_Pres-G_CO,2016,CO,Ipsos,2016-09-15,2016-11-08,54,391.0,Online Panel,Hillary Rodham Clinton,DEM,42.05,48.1569803828474,-6.106980382847404,6.106980382847404,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46027,71983,2016_Pres-G_CO,2016,CO,YouGov,2016-09-22,2016-11-08,47,991.0,Live Phone/Online Panel,Hillary Rodham Clinton,DEM,40.0,48.1569803828474,-8.1569803828474,8.1569803828474,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46637,72931,2016_Pres-G_CO,2016,CO,Ipsos,2016-09-29,2016-11-08,40,552.0,Online Panel,Hillary Rodham Clinton,DEM,44.77,48.1569803828474,-3.3869803828473977,3.3869803828473977,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47189,73866,2016_Pres-G_CO,2016,CO,Ipsos,2016-10-13,2016-11-08,26,445.0,Online Panel,Hillary Rodham Clinton,DEM,45.01,48.1569803828474,-3.146980382847403,3.146980382847403,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47780,74790,2016_Pres-G_CO,2016,CO,YouGov,2016-10-27,2016-11-08,12,997.0,Live Phone/Online Panel,Hillary Rodham Clinton,DEM,42.0,48.1569803828474,-6.156980382847401,6.156980382847401,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48704,76285,2016_Pres-G_CO,2016,CO,Ipsos,2016-10-30,2016-11-08,9,536.0,Online Panel,Hillary Rodham Clinton,DEM,47.71,48.1569803828474,-0.44698038284739994,0.44698038284739994,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48724,76305,2016_Pres-G_CO,2016,CO,YouGov,2016-10-20,2016-11-08,19,1556.0,Online Panel,Hillary Rodham Clinton,DEM,42.1,48.1569803828474,-6.056980382847399,6.056980382847399,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46342,72470,2016_Pres-G_CT,2016,CT,Ipsos,2016-09-19,2016-11-08,50,455.0,Online Panel,Hillary Rodham Clinton,DEM,52.01,54.56630109670987,-2.5563010967098734,2.5563010967098734,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47190,73867,2016_Pres-G_CT,2016,CT,Ipsos,2016-10-10,2016-11-08,29,437.0,Online Panel,Hillary Rodham Clinton,DEM,52.56,54.56630109670987,-2.006301096709869,2.006301096709869,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48705,76286,2016_Pres-G_CT,2016,CT,Ipsos,2016-10-30,2016-11-08,9,351.0,Online Panel,Hillary Rodham Clinton,DEM,49.76,54.56630109670987,-4.806301096709873,4.806301096709873,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48725,76306,2016_Pres-G_CT,2016,CT,YouGov,2016-10-20,2016-11-08,19,955.0,Online Panel,Hillary Rodham Clinton,DEM,46.6,54.56630109670987,-7.96630109670987,7.96630109670987,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48727,76308,2016_Pres-G_DC,2016,DC,YouGov,2016-10-20,2016-11-08,19,190.0,Online Panel,Hillary Rodham Clinton,DEM,79.8,90.86382152999988,-11.063821529999885,11.063821529999885,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46343,72471,2016_Pres-G_DE,2016,DE,Ipsos,2016-09-19,2016-11-08,50,124.0,Online Panel,Hillary Rodham Clinton,DEM,43.16,53.08597745902562,-9.925977459025624,9.925977459025624,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47191,73868,2016_Pres-G_DE,2016,DE,Ipsos,2016-10-10,2016-11-08,29,121.0,Online Panel,Hillary Rodham Clinton,DEM,47.83,53.08597745902562,-5.2559774590256225,5.2559774590256225,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48780,76365,2016_Pres-G_DE,2016,DE,Ipsos,2016-10-30,2016-11-08,9,138.0,Online Panel,Hillary Rodham Clinton,DEM,52.03,53.08597745902562,-1.0559774590256197,1.0559774590256197,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48726,76307,2016_Pres-G_DE,2016,DE,YouGov,2016-10-20,2016-11-08,19,260.0,Online Panel,Hillary Rodham Clinton,DEM,50.7,53.08597745902562,-2.385977459025618,2.385977459025618,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45839,71603,2016_Pres-G_FL,2016,FL,Ipsos,2016-09-12,2016-11-08,57,722.0,Online Panel,Hillary Rodham Clinton,DEM,46.33,47.82331580580505,-1.4933158058050537,1.4933158058050537,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46063,72055,2016_Pres-G_FL,2016,FL,Ipsos,2016-09-19,2016-11-08,50,811.0,Online Panel,Hillary Rodham Clinton,DEM,49.08,47.82331580580505,1.2566841941949463,1.2566841941949463,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
